ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Total_Platforms
336,Heroin(e),2017,Unknown,74,1,0,0,0,Movie,1
337,A Ghost Story,2017,18+,74,1,0,0,0,Movie,1
338,Safety Not Guaranteed,2012,18+,74,1,0,0,0,Movie,1
339,Game Over,2019,13+,74,1,0,0,0,Movie,1
340,Peppermint,2018,18+,74,1,0,0,0,Movie,1
341,Have a Good Trip: Adventures in Psychedelics,2020,18+,74,1,0,0,0,Movie,1
342,Beasts of No Nation,2015,18+,74,1,0,0,0,Movie,1
343,Extinction,2018,18+,74,1,0,0,0,Movie,1
344,Nobody Knows I'm Here,2020,18+,74,1,0,0,0,Movie,1
345,ARQ,2016,18+,74,1,0,0,0,Movie,1
346,Ali's Wedding,2017,18+,74,1,0,0,0,Movie,1
347,Bo Burnham: Make Happy,2016,18+,74,1,0,0,0,Movie,1
348,Mank,2020,18+,74,1,0,0,0,Movie,1
349,"Extremely Wicked, Shockingly Evil and Vile",2019,18+,74,1,0,0,0,Movie,1
350,Due Date,2010,18+,74,1,0,0,0,Movie,1
351,Between Two Ferns: The Movie,2019,18+,74,1,0,0,0,Movie,1
352,Ip Man 2,2010,18+,74,1,0,0,0,Movie,1
353,Mirage,2018,18+,74,1,0,0,0,Movie,1
354,Puss in Boots,2011,7+,74,1,0,0,0,Movie,1
355,Austin Powers in Goldmember,2002,13+,74,1,0,0,0,Movie,1
356,The Kissing Booth,2018,16+,73,1,0,0,0,Movie,1
357,Hush,2016,18+,73,1,0,0,0,Movie,1
358,Lost Bullet,2020,18+,73,1,0,0,0,Movie,1
359,Dil Chahta Hai,2001,all,73,1,0,0,0,Movie,1
360,Election,1999,18+,73,1,0,1,0,Movie,2
361,Soni,2019,18+,73,1,0,0,0,Movie,1
362,Bāhubali: The Beginning,2015,13+,73,1,0,0,0,Movie,1
363,Killing Them Softly,2012,18+,73,1,0,0,0,Movie,1
364,Swordfish,2001,18+,73,1,0,0,0,Movie,1
365,Wish Dragon,2021,7+,73,1,0,0,0,Movie,1
366,Raees,2017,18+,73,1,0,0,0,Movie,1
367,Let It Snow,2019,13+,73,1,0,0,0,Movie,1
368,The Babysitter: Killer Queen,2020,Unknown,73,1,0,0,0,Movie,1
369,Hardcore Henry,2015,18+,73,1,0,0,0,Movie,1
370,Tig Notaro: Happy To Be Here,2018,16+,73,1,0,0,0,Movie,1
371,Spelling the Dream,2020,all,73,1,0,0,0,Movie,1
372,Knock Down the House,2019,7+,73,1,0,0,0,Movie,1
373,Resident Evil: Extinction,2007,18+,73,1,1,0,0,Movie,2
374,Polar,2019,18+,73,1,0,0,0,Movie,1
